Epoch,Train Loss,Train Acc,Test Loss,Test Acc
0,0.05659885784276785, 95.5600 ,0.06048917421736778, 91.6000 
1,0.029661321157637314, 99.0360 ,0.05230469036942873, 92.7500 
2,0.025779671030930984, 99.3640 ,0.04689956112549855, 93.1700 
3,0.02395749418781354, 99.5180 ,0.04680416350945448, 93.2700 
4,0.023533235671810614, 99.5460 ,0.04648509655052271, 93.1900 
5,0.02233671673979515, 99.6340 ,0.04491048213094473, 93.2300 
6,0.022373691158225902, 99.6340 ,0.043950392004962154, 93.3800 
7,0.022103386630232518, 99.6860 ,0.044976269730772726, 93.2500 
8,0.021575346804009035, 99.7280 ,0.042036331593035124, 93.4600 
9,0.021033079119829032, 99.6780 ,0.0422478901126828, 93.3300 
10,0.021699626108583732, 99.6860 ,0.041164242972930275, 93.5800 
11,0.020857730185469756, 99.7460 ,0.04368495976982208, 93.5000 
12,0.020556472377994885, 99.7640 ,0.04495423841170776, 93.5000 
13,0.02022665076626417, 99.7100 ,0.0424118085931509, 93.5500 
14,0.020333931654787217, 99.7540 ,0.042281763771405585, 93.6200 
15,0.01986841177329039, 99.7280 ,0.04247272243866554, 93.6300 
16,0.01804324876851378, 99.8040 ,0.03969682679057886, 93.5900 
17,0.017830426895465608, 99.8300 ,0.040009668335700646, 93.5600 
18,0.017507258496987515, 99.8420 ,0.03942942913048542, 93.7700 
19,0.017528585772006177, 99.8040 ,0.03968605609276356, 93.6800 
20,0.017443106684069603, 99.8260 ,0.04009941279983673, 93.6400 
21,0.017171396276889704, 99.8400 ,0.038533973818024, 93.6900 
22,0.017152413016615006, 99.8400 ,0.03930461370887665, 93.8000 
23,0.017144169691854564, 99.8100 ,0.03849294530944182, 93.7300 
24,0.017150328279687807, 99.8240 ,0.03944658172818331, 93.7400 
25,0.017098179910905086, 99.8080 ,0.03945670396280594, 93.9600 
26,0.016985572227396262, 99.8300 ,0.03968910655627648, 93.8900 
27,0.017275861313996405, 99.8280 ,0.03925186307288897, 93.8400 
28,0.0168897172030157, 99.8280 ,0.03947883877807703, 93.8000 
29,0.01704931716219737, 99.8340 ,0.03950249472967325, 93.9300 
